schemaVersion,section,name,title,description,type,format,constraints.required,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,enumLabels,enumOrdered,missingValues,trueValues,falseValues,custom,standardsMappings[0].instrument.url,standardsMappings[0].instrument.source,standardsMappings[0].instrument.title,standardsMappings[0].instrument.id,standardsMappings[0].item.url,standardsMappings[0].item.source,standardsMappings[0].item.id,relatedConcepts[0].url,relatedConcepts[0].title,relatedConcepts[0].source,relatedConcepts[0].id
0.3.2,ipsilateral_von_frey_percent_baseline_week_0,baseline_ipsi_vf_w0,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 0/week 0 X 100.,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 0/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_week_1,ipsi_vf_w1,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 1,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 1,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_percent_baseline_week_1,baseline_ipsi_vf_w1,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 1/week 0 X 100.,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 1/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_week_2,ipsi_vf_w2,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 2,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 2,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_percent_baseline_week_2,baseline_ipsi_vf_w2,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 2/week 0 X 100.,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 2/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_week_3,ipsi_vf_w3,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 3,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 3,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_percent_baseline_week_3,baseline_ipsi_vf_w3,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 3/week 0 X 100.,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 3/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_week_4,ipsi_vf_w4,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 4,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 4,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_percent_baseline_week_4,baseline_ipsi_vf_w4,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 4/week 0 X 100.,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 4/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_week_5,ipsi_vf_w5,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 5,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 5,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_percent_baseline_week_5,baseline_ipsi_vf_w5,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 5/week 0 X 100.,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 5/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_week_6,ipsi_vf_w6,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 6,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 6,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_percent_baseline_week_6,baseline_ipsi_vf_w6,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 6/week 0 X 100.,Ipsilateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 6/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_week_0,contra_vf_w0,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 0,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 0,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_percent_baseline_week_0,baseline_contra_vf_w0,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 0/week 0 X 100.,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 0/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_week_1,contra_vf_w1,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 1,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 1,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_percent_baseline_week_1,baseline_contra_vf_w1,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 1/week 0 X 100.,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 1/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_week_2,contra_vf_w2,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 2,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 2,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_percent_baseline_week_2,baseline_contra_vf_w2,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 2/week 0 X 100.,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 2/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_week_3,contra_vf_w3,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 3,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 3,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_percent_baseline_week_3,baseline_contra_vf_w3,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 3/week 0 X 100.,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 3/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_week_4,contra_vf_w4,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 4,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 4,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_percent_baseline_week_4,baseline_contra_vf_w4,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 4/week 0 X 100.,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 4/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_week_5,contra_vf_w5,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 5,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 5,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_percent_baseline_week_5,baseline_contra_vf_w5,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 5/week 0 X 100.,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 5/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_week_6,contra_vf_w6,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 6,Contrlateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 6,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_von_frey_percent_baseline_week_6,baseline_contra_vf_w6,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 6/week 0 X 100.,Contrlateral Percent baseline of Manual Von Frey using the Up-Down Method represented as week 6/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_week_0,ipsi_heat_w0,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 0.,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 0.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_percent_baseline_week_0,baseline_ipsi_heat_w0,Ipsilateral Hargreaves' Percent Baseline represented as week 0/week 0 X 100.,Ipsilateral Hargreaves' Percent Baseline represented as week 0/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_week_1,ipsi_heat_w1,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 1.,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 1.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_percent_baseline_week_1,baseline_ipsi_heat_w1,Ipsilateral Hargreaves' Percent Baseline represented as week 1/week 0 X 100.,Ipsilateral Hargreaves' Percent Baseline represented as week 1/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_week_2,ipsi_heat_w2,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 2.,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 2.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_percent_baseline_week_2,baseline_ipsi_heat_w2,Ipsilateral Hargreaves' Percent Baseline represented as week 2/week 0 X 100.,Ipsilateral Hargreaves' Percent Baseline represented as week 2/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_week_3,ipsi_heat_w3,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 3.,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 3.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_percent_baseline_week_3,baseline_ipsi_heat_w3,Ipsilateral Hargreaves' Percent Baseline represented as week 3/week 0 X 100.,Ipsilateral Hargreaves' Percent Baseline represented as week 3/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_week_4,ipsi_heat_w4,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 4.,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 4.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_percent_baseline_week_4,baseline_ipsi_heat_w4,Ipsilateral Hargreaves' Percent Baseline represented as week 4/week 0 X 100.,Ipsilateral Hargreaves' Percent Baseline represented as week 4/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_week_5,ipsi_heat_w5,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 5.,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 5.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_percent_baseline_week_5,baseline_ipsi_heat_w5,Ipsilateral Hargreaves' Percent Baseline represented as week 5/week 0 X 100.,Ipsilateral Hargreaves' Percent Baseline represented as week 5/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_week_6,ipsi_heat_w6,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 6.,Ipsilateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 6.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_hargreaves_percent_baseline_week_6,baseline_ipsi_heat_w6,Ipsilateral Hargreaves' Percent Baseline represented as week 6/week 0 X 100.,Ipsilateral Hargreaves' Percent Baseline represented as week 6/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_week_0,contra_heat_w0,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 0.,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 0.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_percent_baseline_week_0,baseline_contra_heat_w0,Contralateral Hargreaves' Percent Baseline represented as week 0/week 0 X 100.,Contralateral Hargreaves' Percent Baseline represented as week 0/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_week_1,contra_heat_w1,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 1.,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 1.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_percent_baseline_week_1,baseline_contra_heat_w1,Contralateral Hargreaves' Percent Baseline represented as week 1/week 0 X 100.,Contralateral Hargreaves' Percent Baseline represented as week 1/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_week_2,contra_heat_w2,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 2.,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 2.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_percent_baseline_week_2,baseline_contra_heat_w2,Contralateral Hargreaves' Percent Baseline represented as week 2/week 0 X 100.,Contralateral Hargreaves' Percent Baseline represented as week 2/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_week_3,contra_heat_w3,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 3.,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 3.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_percent_baseline_week_3,baseline_contra_heat_w3,Contralateral Hargreaves' Percent Baseline represented as week 3/week 0 X 100.,Contralateral Hargreaves' Percent Baseline represented as week 3/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_week_4,contra_heat_w4,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 4.,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 4.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_percent_baseline_week_4,baseline_contra_heat_w4,Contralateral Hargreaves' Percent Baseline represented as week 4/week 0 X 100.,Contralateral Hargreaves' Percent Baseline represented as week 4/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_week_5,contra_heat_w5,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 5.,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 5.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_percent_baseline_week_5,baseline_contra_heat_w5,Contralateral Hargreaves' Percent Baseline represented as week 5/week 0 X 100.,Contralateral Hargreaves' Percent Baseline represented as week 5/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_week_6,contra_heat_w6,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 6.,Contralateral Hargreaves' using 25 IR. Data represented as the average of 5 trials at week 6.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contralateral_hargreaves_percent_baseline_week_6,baseline_contra_heat_w6,Contralateral Hargreaves' Percent Baseline represented as week 6/week 0 X 100.,Contralateral Hargreaves' Percent Baseline represented as week 6/week 0 X 100.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,forced_swim_test_time_spent_swimming,fst_swimming_time_seconds,Forced Swim Test Swimming time over the 4 minute experimental testing period.,Forced Swim Test Swimming time over the 4 minute experimental testing period.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,forced_swim_test_time_spent_immobile,fst_immobility_time_seconds,Forced Swim Test Immobile time over the 4 minute experimental testing period.,Forced Swim Test Immobile time over the 4 minute experimental testing period.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,forced_swim_test_time_spent_climbing,fst_climbing_time_seconds,Forced Swim Test Climbing time over the 4 minute experimental testing period.,Forced Swim Test Climbing time over the 4 minute experimental testing period.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,forced_swim_test_time_to_first_float,fst_time_to_first_float_seconds,Forced Swim Test Time to First Float over the 6 minute testing period.,Forced Swim Test Time to First Float over the 6 minute testing period.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_sucrose_intake_week_0,sucrose_intake_w0,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 0.,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 0.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_water_intake_week_0,h20_intake_w0,Sucrose Preference Test Water Intake during the 24 hour testing period on week 0.,Sucrose Preference Test Water Intake during the 24 hour testing period on week 0.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_ratio_week_0,spt_score_w0,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 0.,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 0.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_sucrose_intake_week_1,sucrose_intake_w1,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 1.,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 1.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_water_intake_week_1,h20_intake_w1,Sucrose Preference Test Water Intake during the 24 hour testing period on week 1.,Sucrose Preference Test Water Intake during the 24 hour testing period on week 1.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_ratio_week_1,spt_score_w1,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 1,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 1,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_sucrose_intake_week_2,sucrose_intake_w2,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 2.,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 2.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_water_intake_week_2,h20_intake_w2,Sucrose Preference Test Water Intake during the 24 hour testing period on week 2.,Sucrose Preference Test Water Intake during the 24 hour testing period on week 2.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_ratio_week_2,spt_score_w2,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 2,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 2,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_sucrose_intake_week_3,sucrose_intake_w3,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 3.,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 3.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_water_intake_week_3,h20_intake_w3,Sucrose Preference Test Water Intake during the 24 hour testing period on week 3.,Sucrose Preference Test Water Intake during the 24 hour testing period on week 3.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_ratio_week_3,spt_score_w3,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 3,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 3,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_sucrose_intake_week_4,sucrose_intake_w4,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 4.,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 4.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_water_intake_week_4,h20_intake_w4,Sucrose Preference Test Water Intake during the 24 hour testing period on week 4.,Sucrose Preference Test Water Intake during the 24 hour testing period on week 4.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_ratio_week_4,spt_score_w4,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 4,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 4,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_sucrose_intake_week_5,sucrose_intake_w5,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 5.,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 5.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_water_intake_week_5,h20_intake_w5,Sucrose Preference Test Water Intake during the 24 hour testing period on week 5.,Sucrose Preference Test Water Intake during the 24 hour testing period on week 5.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_ratio_week_5,spt_score_w5,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 5,Sucrose Preferences Test Ratio determined by Total Sucrose Intake/Total Fluid Intake X 100 on week 5,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_sucrose_intake_week_6,sucrose_intake_w6,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 6.,Sucrose Preference Test Sucrose Intake during the 24 hour testing period on week 6.,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sucrose_preference_test_total_water_intake_week_6,h20_intake_w6,Sucrose Preference Test Water Intake during the 24 hour testing period on week 6.,Sucrose Preference Test Water Intake during the 24 hour testing period on week 6.,integer,,,,,,,,,,,,,,,,,,,,,,,,
