module,name,title,description,type,format,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,encodings,ordered,missingValues,trueValues,falseValues,repo_link,standardsMappings.type,standardsMappings.label,standardsMappings.url,standardsMappings.source,standardsMappings.id,relatedConcepts.type,relatedConcepts.label,relatedConcepts.url,relatedConcepts.source,relatedConcepts.id,univarStats.median,univarStats.mean,univarStats.std,univarStats.min,univarStats.max,univarStats.mode,univarStats.count,univarStats.twentyFifthPercentile,univarStats.seventyFifthPercentile,univarStats.categoricalMarginals.name,univarStats.categoricalMarginals.count
phone_screening,neck,Neck,4. Where (in your body) are you currently having pain?: Neck,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,back,Back,4. Where (in your body) are you currently having pain?: Back,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,chest,Chest,4. Where (in your body) are you currently having pain?: Chest,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,shoulder_r,Shoulder R,4. Where (in your body) are you currently having pain?: Shoulder R,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,shoulder_l,Shoulder L,4. Where (in your body) are you currently having pain?: Shoulder L,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,elbow_hand_r,Elbow/Hand R,4. Where (in your body) are you currently having pain?: Elbow/Hand R,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,elbow_hand_l,Elbow/Hand L,4. Where (in your body) are you currently having pain?: Elbow/Hand L,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,hip_r,Hip R,4. Where (in your body) are you currently having pain?: Hip R,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,hip_l,Hip L,4. Where (in your body) are you currently having pain?: Hip L,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,knee_r,Knee R,4. Where (in your body) are you currently having pain?: Knee R,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,knee_l,Knee L,4. Where (in your body) are you currently having pain?: Knee L,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,arm_l,Arm L,4. Where (in your body) are you currently having pain?: Arm L,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,arm_r,Arm R,4. Where (in your body) are you currently having pain?: Arm R,integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,lower_leg_foot_right_side,Lower Leg/Foot (Right side),4. Where (in your body) are you currently having pain?: Lower Leg/Foot (Right side),integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,lower_leg_foot_left_side,Lower Leg/Foot (Left side),4. Where (in your body) are you currently having pain?: Lower Leg/Foot (Left side),integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,number_body_sites,Number of painful body sites,"4. Where (in your body) are you currently having pain?: Number of painful body sites[calculation: sum([head_ache],[neck],[back],[chest],[shoulder_r],[shoulder_l],[elbow_hand_r],[elbow_hand_l],[hip_r],[hip_l],[knee_r],[knee_l],[arm_l],[arm_r],[lower_leg_foot_right_side],[lower_leg_foot_left_side])]",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,pain_sites_ge3,Number of Painful Body Sites,4. Where (in your body) are you currently having pain?: Number of Painful Body Sites,integer,,,0,,,,0== 3,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,worst_pain,a. At its worst in the last week,"5. BPI Pain Intensity 

Please rate your pain by indicating the one number that best describes your pain (BPI pain intensity): a. At its worst in the last week",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - No pain|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Pain bad as imagine,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,least_pain,b. At its least in the last week,"5. BPI Pain Intensity 

Please rate your pain by indicating the one number that best describes your pain (BPI pain intensity): b. At its least in the last week",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - No pain|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Pain bad as imagine,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,average_pain,c. On the average in the last week,"5. BPI Pain Intensity 

Please rate your pain by indicating the one number that best describes your pain (BPI pain intensity): c. On the average in the last week",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - No pain|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Pain bad as imagine,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,pain_now,d. Right now,"5. BPI Pain Intensity 

Please rate your pain by indicating the one number that best describes your pain (BPI pain intensity): d. Right now",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - No pain|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Pain bad as imagine,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,bpi_pain_intensity,BPI pain intensity,"5. BPI Pain Intensity 

Please rate your pain by indicating the one number that best describes your pain (BPI pain intensity): BPI pain intensity[calculation: sum([worst_pain],[least_pain],[average_pain],[pain_now])]",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,gen_ac,A. General Activity,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: A. General Activity",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - Does Not Interfere|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely Interferes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,mood_b,B. Mood,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: B. Mood",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - Does Not Interfere|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely Interferes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,walk_c,C. Walking Ability,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: C. Walking Ability",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - Does Not Interfere|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely Interferes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,norm_work,D. Normal Work (includes both work outside the home and housework),"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: D. Normal Work (includes both work outside the home and housework)",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - Does Not Interfere|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely Interferes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,relat_e,E. Relations with other people,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: E. Relations with other people",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - Does Not Interfere|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely Interferes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,sleep_f,F.  Sleep,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: F.  Sleep",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - Does Not Interfere|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely Interferes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,enjoy_life,G. Enjoyment of life,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: G. Enjoyment of life",integer,,,0|1|2|3|4|5|6|7|8|9|10,,,,0=0 - Does Not Interfere|1=1|2=2|3=3|4=4|5=5|6=6|7=7|8=8|9=9|10=10 - Completely Interferes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,bpi_pain_interference,BPI Pain interference,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: BPI Pain interference[calculation: sum([gen_ac],[mood_b],[walk_c],[norm_work],[relat_e],[sleep_f], [enjoy_life])]",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,bpi_global_pain_severity_total,7. BPI GLOBAL Pain Severity:,"BPI Pain Interference 

6. What number best describes how, during the past week, pain has interfered with the following: 7. BPI GLOBAL Pain Severity:[calculation: ([bpi_pain_interference]+[bpi_pain_intensity])/11]",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,disability,8. Are you currently waiting for a response to an application for disability? (Pending is excluded),DISABILITY CLAIM SCREENER: 8. Are you currently waiting for a response to an application for disability? (Pending is excluded),integer,,,1|0|99,,,,1=Yes|0=No|99=Don't know or refused to answer,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,telephone_access,"9. Do you have a cell phone (example, I-phone) or have a computer or tablet (I-pad) with reliable internet access?","ADDITIONAL SCREENING QUESTIONS: 9. Do you have a cell phone (example, I-phone) or have a computer or tablet (I-pad) with reliable internet access?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,years,10. Are you at least 18 years of age?,ADDITIONAL SCREENING QUESTIONS: 10. Are you at least 18 years of age?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,surgery_criteria,11. Do you have any plans to undergo elective surgery in the next 26 weeks or 6 months?,ADDITIONAL SCREENING QUESTIONS: 11. Do you have any plans to undergo elective surgery in the next 26 weeks or 6 months?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,par_q6,"12. Have you ever been diagnosed with an inflammatory arthritis? Specifically, lupus, rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis. (If patient has 'arthritis' but cannot define then they are eligible)","ADDITIONAL SCREENING QUESTIONS: 12. Have you ever been diagnosed with an inflammatory arthritis? Specifically, lupus, rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis. (If patient has 'arthritis' but cannot define then they are eligible)",integer,,,1|0,,,,1=Yes|0=No or Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,cancer_criteria,13. Do you currently have a diagnosis of cancer or are under treatment for cancer? If the patient has a history of cancer but it has been treated and is in remission then they are eligible,ADDITIONAL SCREENING QUESTIONS: 13. Do you currently have a diagnosis of cancer or are under treatment for cancer? If the patient has a history of cancer but it has been treated and is in remission then they are eligible,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,schizophrenia,14. Have you been diagnosed with bipolar or schizophrenia by a psychiatrist (mental health specialist)?,ADDITIONAL SCREENING QUESTIONS: 14. Have you been diagnosed with bipolar or schizophrenia by a psychiatrist (mental health specialist)?,integer,,,1|0,,,,1=Yes|0=No or  I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,thoughts,15. Are you currently experiencing suicidal thoughts or are considering hurting yourself?,ADDITIONAL SCREENING QUESTIONS: 15. Are you currently experiencing suicidal thoughts or are considering hurting yourself?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications,"16. Are you currently taking anyone of the following medications: duloxetine (Cymbalta), fluoxetine (Prozac), sertraline (Zoloft), paroxetine (Paxil), escitalopram (Lexapro), venlafaxine (Effexor), milnacipran (Savella)?","ADDITIONAL SCREENING QUESTIONS: 16. Are you currently taking anyone of the following medications: duloxetine (Cymbalta), fluoxetine (Prozac), sertraline (Zoloft), paroxetine (Paxil), escitalopram (Lexapro), venlafaxine (Effexor), milnacipran (Savella)?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications2,"17. Are you currently taking anyone of the following medications: mirtazapine (Remeron), verapamil, Quetiapine (Seroquel), Olanzapine (Zyprexa), Lithium, Lurasidone (Latuda), or risperidone (Risperdal)?","ADDITIONAL SCREENING QUESTIONS: 17. Are you currently taking anyone of the following medications: mirtazapine (Remeron), verapamil, Quetiapine (Seroquel), Olanzapine (Zyprexa), Lithium, Lurasidone (Latuda), or risperidone (Risperdal)?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications3,"18. Are you currently taking anyone of the following medications: clozapine (Clozaril), loxapine (Loxitane) or ziprasidone (Geodon)?","ADDITIONAL SCREENING QUESTIONS: 18. Are you currently taking anyone of the following medications: clozapine (Clozaril), loxapine (Loxitane) or ziprasidone (Geodon)?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,a_are_you_currently_taking,"18a. Are you currently taking anxiety medication (e.g., diazepam (Valium), alprazolam (Xanax), lorazepam (Ativan)) AND sleeping medication (e.g., zolpidem (Ambien), eszopiclone (Lunesta), etc.)?","ADDITIONAL SCREENING QUESTIONS: 18a. Are you currently taking anxiety medication (e.g., diazepam (Valium), alprazolam (Xanax), lorazepam (Ativan)) AND sleeping medication (e.g., zolpidem (Ambien), eszopiclone (Lunesta), etc.)?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications4,19. Are you currently taking amitriptyline or nortriptyline above 50 mg per day?,ADDITIONAL SCREENING QUESTIONS: 19. Are you currently taking amitriptyline or nortriptyline above 50 mg per day?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications5,20. Are you currently taking lyrica or gabapentin?,ADDITIONAL SCREENING QUESTIONS: 20. Are you currently taking lyrica or gabapentin?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications6,20a. Have you been on stable doses of either Lyrica or Gabapentin for at least 4 weeks?,ADDITIONAL SCREENING QUESTIONS: 20a. Have you been on stable doses of either Lyrica or Gabapentin for at least 4 weeks?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications7,"21. Are you currently taking anyone of the following medications: naproxen, diclofenac (voltaren), meloxicam (mobic), or celebrex?","ADDITIONAL SCREENING QUESTIONS: 21. Are you currently taking anyone of the following medications: naproxen, diclofenac (voltaren), meloxicam (mobic), or celebrex?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,medications8,"21a. Have you been on stable doses of these medications (naproxen, diclofenac, meloxicam, or celebrex) for at least 2 weeks?","ADDITIONAL SCREENING QUESTIONS: 21a. Have you been on stable doses of these medications (naproxen, diclofenac, meloxicam, or celebrex) for at least 2 weeks?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,opioids,"22. Are you currently taking anyone of the following PAIN medications? Tramadol, hydrocodone, oxycodone, oxymorphone, morphine, fentanyl, methadone, buprenorphine patch, Nucynta, hydromorphone","ADDITIONAL SCREENING QUESTIONS: 22. Are you currently taking anyone of the following PAIN medications? Tramadol, hydrocodone, oxycodone, oxymorphone, morphine, fentanyl, methadone, buprenorphine patch, Nucynta, hydromorphone",integer,,,1|0,,,,1=Yes (PROCEED) - Opioid users|0=No (PROCEED) - Non-users,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,result,23. This patient is:,ELIGIBILITY SCRIPT: 23. This patient is:,integer,,,1|2,,,,1=Eligible|2=Not Eligible,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,eligible,"24. Thank you for answering these questions.  Based on your answers, you are eligible for this study.  Do you have time for me tell you more about our study?","ELIGIBILITY SCRIPT: 24. Thank you for answering these questions.  Based on your answers, you are eligible for this study.  Do you have time for me tell you more about our study?",integer,,,1|0|2,,,,1=Yes|0=No|2=I don't have time right now,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,time_to_explain,"25. When would be a good time to call back, or would  you prefer to be emailed?","ELIGIBILITY SCRIPT: 25. When would be a good time to call back, or would  you prefer to be emailed?",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,phone_number,Phone Number:,ELIGIBILITY SCRIPT: Phone Number:,string,,,,^[0-9]{3}-[0-9]{3}-[0-9]{4}$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,email,Email:,ELIGIBILITY SCRIPT: Email:,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,comments,Comments:,ELIGIBILITY SCRIPT: Comments:,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,date_of_visit,1. Date of Visit,1. Date of Visit,date,any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ic_agreement___1,"Ic_Agreement:Yes2. INFORMED CONSENT 
I agree to take part in this study. I authorize the use and disclosure of my health information as described in this consent and authorization form.  If I have not already received a copy of the Privacy Notice, I may request one or one will be made available to me.  I have had a chance to ask questions about being in this study and have those questions answered.   By answering ""Yes"" , I am not releasing or agreeing to release the investigator, the sponsor, the institution or its agents from liability for negligence.","2. INFORMED CONSENT 
I agree to take part in this study. I authorize the use and disclosure of my health information as described in this consent and authorization form.  If I have not already received a copy of the Privacy Notice, I may request one or one will be made available to me.  I have had a chance to ask questions about being in this study and have those questions answered.   By answering ""Yes"" , I am not releasing or agreeing to release the investigator, the sponsor, the institution or its agents from liability for negligence.[choice=Yes]",boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ic_agreement___0,"Ic_Agreement:No2. INFORMED CONSENT 
I agree to take part in this study. I authorize the use and disclosure of my health information as described in this consent and authorization form.  If I have not already received a copy of the Privacy Notice, I may request one or one will be made available to me.  I have had a chance to ask questions about being in this study and have those questions answered.   By answering ""Yes"" , I am not releasing or agreeing to release the investigator, the sponsor, the institution or its agents from liability for negligence.","2. INFORMED CONSENT 
I agree to take part in this study. I authorize the use and disclosure of my health information as described in this consent and authorization form.  If I have not already received a copy of the Privacy Notice, I may request one or one will be made available to me.  I have had a chance to ask questions about being in this study and have those questions answered.   By answering ""Yes"" , I am not releasing or agreeing to release the investigator, the sponsor, the institution or its agents from liability for negligence.[choice=No]",boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,audio_tape,3a. I would like the audiotapes (used for quality assurance) of me to be destroyed once their use in this study is finished,3a. I would like the audiotapes (used for quality assurance) of me to be destroyed once their use in this study is finished,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,audio_tape_2,"3b. The audiotapes (used for quality assurance) of me can be kept for use in future studies provided they are kept secure and any future study will be reviewed by an IRB. I understand that I will not be able to inspect, review or approve their future use","3b. The audiotapes (used for quality assurance) of me can be kept for use in future studies provided they are kept secure and any future study will be reviewed by an IRB. I understand that I will not be able to inspect, review or approve their future use",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,birth,4. Date of birth,DEMOGRAPHICS: 4. Date of birth,date,any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,age_at_enrollment,Age at Enrollment,"DEMOGRAPHICS: Age at Enrollment[calculation: datediff([birth],[date_of_visit],""y"")]",number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,gender,5. Gender,DEMOGRAPHICS: 5. Gender,integer,,,1|2,,,,1=Male|2=Female,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ethnicity,6. Are you Hispanic or Latino?,DEMOGRAPHICS: 6. Are you Hispanic or Latino?,integer,,,1|0|2,,,,1=Yes|0=No|2=Don't know or refused to answer,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___1,Ehtnicity_1:White or Caucasian7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=White or Caucasian],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___2,Ehtnicity_1:Black or African American7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=Black or African American],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___3,Ehtnicity_1:American Indian or Alaska Native7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=American Indian or Alaska Native],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___4,Ehtnicity_1:Asian7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=Asian],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___5,Ehtnicity_1:Native Hawaiian or Other Pacific Islander7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=Native Hawaiian or Other Pacific Islander],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___6,Ehtnicity_1:Don't Know7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=Don't Know],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___7,Ehtnicity_1:Refuse to Answer7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=Refuse to Answer],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,ehtnicity_1___8,Ehtnicity_1:Other7. What race do you consider yourself to be?,DEMOGRAPHICS: 7. What race do you consider yourself to be?[choice=Other],boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,income,"8. When you consider your current household income from all sources, would you say that you are...","DEMOGRAPHICS: 8. When you consider your current household income from all sources, would you say that you are...",integer,,,1|2|3|4,,,,1=Comfortable|2=Have just enough to make ends meet|3=Do NOT have enough to make ends meet|4=Don't know or refused to answer,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,employment,9. Which of the following best describes your current employment (work) situation?,DEMOGRAPHICS: 9. Which of the following best describes your current employment (work) situation?,integer,,,1|2|3|4|5|6|7|8|10|9,,,,1=Employed for wages|2=Self-employed|3=Out of work for more than 1 year|4=Out of work for less than 1 year|5=Homemaker|6=Student|7=Retired|8=Unable to work (for health or disability reasons)|10=Other|9=Don't know or refused to answer,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,marital_status,10. What is your marital status?,DEMOGRAPHICS: 10. What is your marital status?,integer,,,1|2|3|4|5|6|7,,,,1=Married|2=Divorced|3=Widowed|4=Separated|5=Never Married|6=A member of an unmarried couple|7=Don't Know or refused to answer,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,education,11. What is the highest grade or level of schooling that you completed?,DEMOGRAPHICS: 11. What is the highest grade or level of schooling that you completed?,integer,,,1|2|3|4|5|6|7|8,,,,"1=8th grade or less|2=Some high school|3=High School or GED|4=Technical trade or business school|5=2-year college degree or some college|6=4-year college degree|7=Post-graduate degree (e.g., masters or doctorate)|8=Don't know or refused to answer",,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,pain_duration,12. How long has your pain been an issue?,DEMOGRAPHICS: 12. How long has your pain been an issue?,integer,,,1|2|3|4|5,,,,1=3-6 months|2=7-12 months|3=1-5 years|4=6-10 years|5=> 10 years,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,pt,a. Physical Therapy,13. Have you ever tried the following options to treat your pain?: a. Physical Therapy,integer,,,0|1|2,,,,"0=No, never|1=Yes, but not now|2=Yes, currently",,,,,,,,,,,,,,,,,,,,,,,,,,
baseline_assessment,massage,b. Massage,13. Have you ever tried the following options to treat your pain?: b. Massage,integer,,,0|1|2,,,,"0=No, never|1=Yes, but not now|2=Yes, currently",,,,,,,,,,,,,,,,,,,,,,,,,,
